date,sst,sst_anomaly,mhw_days,year,month,oni,enso_phase
2001-09-01,17.337315666666665,-0.5227988444444445,0,2001,9,-0.19,Neutral
2001-10-01,16.90509890322581,-0.5005473903225807,0,2001,10,-0.29,Neutral
2001-11-01,16.177423133333335,-0.12297779944444473,0,2001,11,-0.35,Neutral
2001-12-01,14.606127612903226,-0.3550438236559139,0,2001,12,-0.31,Neutral
2002-01-01,13.88649970967742,-0.31588804946236543,0,2002,1,-0.15,Neutral
2002-02-01,13.255084642857144,-0.7562258422619047,0,2002,2,0.03,Neutral
2002-03-01,13.369168403225805,-0.681255788172043,0,2002,3,0.09,Neutral
2002-04-01,13.778779266666668,-0.4742542199999999,0,2002,4,0.2,Neutral
2002-05-01,13.886938387096775,-0.9192576236559138,0,2002,5,0.43,Neutral
2002-06-01,14.773250266666667,-0.7697646916666666,0,2002,6,0.65,El Niño
2002-07-01,16.133788225806452,-0.6143694290322578,0,2002,7,0.79,El Niño
2002-08-01,16.94666958064516,-0.6824881645161293,0,2002,8,0.86,El Niño
2002-09-01,17.279099,-0.5810155111111107,0,2002,9,1.01,El Niño
2002-10-01,16.84362912903226,-0.562017164516129,0,2002,10,1.21,El Niño
2002-11-01,15.963090266666665,-0.33731066611111127,0,2002,11,1.31,El Niño
2002-12-01,15.303655741935483,0.3424843053763441,0,2002,12,1.14,El Niño
2003-01-01,14.82331435483871,0.620926595698925,0,2003,1,0.92,El Niño
2003-02-01,14.543749517857142,0.5324390327380951,0,2003,2,0.63,El Niño
2003-03-01,14.331470403225806,0.2810462118279568,0,2003,3,0.38,Neutral
2003-04-01,14.35749195,0.10445846333333327,0,2003,4,-0.04,Neutral
2003-05-01,14.56891656451613,-0.23727944623655897,0,2003,5,-0.26,Neutral
2003-06-01,15.383875733333333,-0.1591392249999999,0,2003,6,-0.16,Neutral
2003-07-01,16.653743387096775,-0.09441426774193537,0,2003,7,0.08,Neutral
2003-08-01,18.425241096774194,0.7960833516129032,18,2003,8,0.21,Neutral
2003-09-01,18.317738566666666,0.45762405555555563,0,2003,9,0.26,Neutral
2003-10-01,17.34874680645161,-0.05689948709677413,0,2003,10,0.29,Neutral
2003-11-01,16.426352633333334,0.12595170055555574,0,2003,11,0.35,Neutral
2003-12-01,15.055847612903225,0.09467617634408595,0,2003,12,0.35,Neutral
2004-01-01,14.397767580645162,0.19537982150537658,0,2004,1,0.37,Neutral
2004-02-01,13.642617607142856,-0.36869287797619027,0,2004,2,0.31,Neutral
2004-03-01,13.718471500000001,-0.3319526913978495,0,2004,3,0.23,Neutral
2004-04-01,14.153263033333333,-0.09977045333333322,0,2004,4,0.17,Neutral
2004-05-01,15.326660193548387,0.5204641827956991,0,2004,5,0.17,Neutral
2004-06-01,15.379071316666666,-0.16394364166666664,0,2004,6,0.28,Neutral
2004-07-01,16.88977983870968,0.14162218387096814,0,2004,7,0.47,Neutral
2004-08-01,18.037005645161294,0.40784790000000015,0,2004,8,0.64,El Niño
2004-09-01,18.282525266666667,0.4224107555555561,0,2004,9,0.7,El Niño
2004-10-01,17.50549093548387,0.09984464193548381,0,2004,10,0.67,El Niño
2004-11-01,16.099107283333332,-0.20129364944444478,0,2004,11,0.66,El Niño
2004-12-01,14.633349129032258,-0.32782230752688163,0,2004,12,0.69,El Niño
2005-01-01,14.285831225806453,0.08344346666666683,0,2005,1,0.64,El Niño
2005-02-01,14.100516964285715,0.08920647916666681,0,2005,2,0.58,El Niño
2005-03-01,14.675285741935484,0.6248615505376346,0,2005,3,0.45,Neutral
2005-04-01,14.470902533333334,0.21786904666666676,1,2005,4,0.43,Neutral
2005-05-01,16.010592177419355,1.204396166666667,13,2005,5,0.29,Neutral
2005-06-01,15.8932159,0.3502009416666669,0,2005,6,0.11,Neutral
2005-07-01,16.721905838709677,-0.026251816129032123,0,2005,7,-0.06,Neutral
2005-08-01,17.78458041935484,0.1554226741935486,0,2005,8,-0.14,Neutral
2005-09-01,17.357056133333334,-0.503058377777778,0,2005,9,-0.11,Neutral
2005-10-01,16.633231645161292,-0.7724146483870965,0,2005,10,-0.29,Neutral
2005-11-01,16.086950283333334,-0.2134506494444447,0,2005,11,-0.57,La Niña
2005-12-01,15.101343177419356,0.14017174086021514,0,2005,12,-0.84,La Niña
2006-01-01,14.494695693548389,0.29230793440860237,0,2006,1,-0.85,La Niña
2006-02-01,14.140116696428572,0.12880621130952385,0,2006,2,-0.77,La Niña
2006-03-01,13.767135048387097,-0.28328914301075264,0,2006,3,-0.57,La Niña
2006-04-01,14.27695035,0.02391686333333348,0,2006,4,-0.37,Neutral
2006-05-01,14.794748483870968,-0.011447526881720502,0,2006,5,-0.14,Neutral
2006-06-01,15.843323866666667,0.3003089083333334,0,2006,6,-0.03,Neutral
2006-07-01,17.000227032258064,0.25206937741935515,8,2006,7,0.1,Neutral
